running Experiment from ExperimentRunner...

DEMO: CLASSIFICATION: False, REGRESSION: True

DEMO: hyperparams: 
	max_iterations: 10
	batch_size: 100
	eta: 3
	layer_activation_funcs: ['sigmoid', 'sigmoid', 'sigmoid']
	layer_sizes_display: [11, 7, 3, 1]
	use_momentum: True
	momentum_beta: 0.9
	k: 10

DEMO: data_set_name: 	wine

DEMO: raw data: 

        fa     va    ca     rs      c   fsd    tsd        d    pH     s          a  CLASS
6491   6.5  0.230  0.38   1.30  0.032  29.0  112.0  0.99298  3.29  0.54   9.700000      5
6492   6.2  0.210  0.29   1.60  0.039  24.0   92.0  0.99114  3.27  0.50  11.200000      6
6493   6.6  0.320  0.36   8.00  0.047  57.0  168.0  0.99490  3.15  0.46   9.600000      5
6494   6.5  0.240  0.19   1.20  0.041  30.0  111.0  0.99254  2.99  0.46   9.400000      6
6495   5.5  0.290  0.30   1.10  0.022  20.0  110.0  0.98869  3.34  0.38  12.800000      7
6496   6.0  0.210  0.38   0.80  0.020  22.0   98.0  0.98941  3.26  0.32  11.800000      6

[6497 rows x 12 columns], shape: (6497, 12)

DEMO: ---------------------------------------------------------------------------------------------------

DEMO: preprocessed data: 

            fa        va        ca        rs         c       fsd       tsd         d        pH         s         a     CLASS
0     0.297521  0.413333  0.000000  0.019939  0.111296  0.034722  0.064516  0.206092  0.612403  0.191011  0.202899  0.333333
1     0.330579  0.533333  0.000000  0.030675  0.147841  0.083333  0.140553  0.186813  0.372093  0.258427  0.260870  0.333333
2     0.330579  0.453333  0.024096  0.026074  0.137874  0.048611  0.110599  0.190669  0.418605  0.241573  0.260870  0.333333
3     0.611570  0.133333  0.337349  0.019939  0.109635  0.055556  0.124424  0.209948  0.341085  0.202247  0.260870  0.500000
4     0.297521  0.413333  0.000000  0.019939  0.111296  0.034722  0.064516  0.206092  0.612403  0.191011  0.202899  0.333333
5     0.297521  0.386667  0.000000  0.018405  0.109635  0.041667  0.078341  0.206092  0.612403  0.191011  0.202899  0.333333
6     0.338843  0.346667  0.036145  0.015337  0.099668  0.048611  0.122120  0.179102  0.449612  0.134831  0.202899  0.333333
7     0.289256  0.380000  0.000000  0.009202  0.093023  0.048611  0.034562  0.144399  0.519380  0.140449  0.289855  0.666667
8     0.330579  0.333333  0.012048  0.021472  0.106312  0.027778  0.027650  0.186813  0.496124  0.196629  0.217391  0.666667
9     0.305785  0.280000  0.216867  0.084356  0.102990  0.055556  0.221198  0.206092  0.488372  0.325843  0.362319  0.333333
10    0.239669  0.333333  0.048193  0.018405  0.146179  0.048611  0.135945  0.169462  0.434109  0.179775  0.173913  0.333333
11    0.305785  0.280000  0.216867  0.084356  0.102990  0.055556  0.221198  0.206092  0.488372  0.325843  0.362319  0.333333
12    0.148760  0.356667  0.000000  0.015337  0.132890  0.052083  0.122120  0.138616  0.666667  0.168539  0.275362  0.333333
13    0.330579  0.353333  0.174699  0.015337  0.174419  0.027778  0.052995  0.198381  0.418605  0.752809  0.159420  0.333333
14    0.421488  0.360000  0.108434  0.049080  0.277409  0.177083  0.320276  0.221515  0.341085  0.370787  0.173913  0.333333
15    0.421488  0.360000  0.114458  0.050613  0.267442  0.173611  0.327189  0.221515  0.348837  0.398876  0.173913  0.333333
16    0.388430  0.133333  0.337349  0.018405  0.137874  0.118056  0.223502  0.188741  0.449612  0.297753  0.362319  0.666667
17    0.355372  0.320000  0.168675  0.016871  0.596346  0.052083  0.115207  0.186813  0.302326  0.595506  0.188406  0.333333
18    0.297521  0.340000  0.048193  0.058282  0.127907  0.017361  0.052995  0.198381  0.511628  0.157303  0.144928  0.166667
19    0.338843  0.160000  0.307229  0.018405  0.551495  0.055556  0.115207  0.188741  0.248062  0.483146  0.173913  0.500000
20    0.421488  0.093333  0.289157  0.018405  0.112957  0.097222  0.124424  0.186813  0.519380  0.174157  0.202899  0.500000
21    0.314050  0.206667  0.186747  0.026074  0.121262  0.076389  0.149770  0.213804  0.620155  0.241573  0.246377  0.333333
22    0.338843  0.233333  0.126506  0.015337  0.161130  0.031250  0.071429  0.182957  0.348837  0.387640  0.217391  0.333333
23    0.388430  0.273333  0.066265  0.026074  0.124585  0.027778  0.140553  0.186813  0.348837  0.174157  0.202899  0.333333
24    0.256198  0.213333  0.084337  0.027607  0.126246  0.069444  0.078341  0.186813  0.550388  0.230337  0.246377  0.500000
25    0.206612  0.206667  0.096386  0.012270  0.117940  0.034722  0.039171  0.161751  0.480620  0.191011  0.188406  0.333333
26    0.314050  0.220000  0.144578  0.018405  0.117940  0.010417  0.011521  0.175246  0.434109  0.207865  0.217391  0.333333
27    0.338843  0.233333  0.126506  0.015337  0.161130  0.031250  0.071429  0.182957  0.348837  0.387640  0.217391  0.333333
28    0.272727  0.420000  0.000000  0.019939  0.117940  0.045139  0.066820  0.194525  0.581395  0.185393  0.202899  0.333333
29    0.330579  0.376667  0.000000  0.021472  0.121262  0.024306  0.023041  0.179102  0.511628  0.207865  0.260870  0.500000
...        ...       ...       ...       ...       ...       ...       ...       ...       ...       ...       ...       ...
6467  0.165289  0.100000  0.186747  0.059816  0.061462  0.142361  0.271889  0.118180  0.457364  0.235955  0.405797  0.500000
6468  0.231405  0.106667  0.198795  0.145706  0.038206  0.024306  0.172811  0.176403  0.364341  0.162921  0.260870  0.500000
6469  0.190083  0.160000  0.168675  0.092025  0.019934  0.097222  0.290323  0.091961  0.333333  0.078652  0.500000  0.666667
6470  0.099174  0.080000  0.240964  0.019939  0.009967  0.065972  0.211982  0.049933  0.503876  0.185393  0.586957  0.500000
6471  0.181818  0.226667  0.246988  0.180982  0.038206  0.170139  0.398618  0.175631  0.325581  0.213483  0.246377  0.333333
6472  0.157025  0.086667  0.192771  0.015337  0.034884  0.111111  0.267281  0.064199  0.472868  0.168539  0.565217  0.500000
6473  0.148760  0.080000  0.216867  0.029141  0.064784  0.052083  0.274194  0.110083  0.596899  0.151685  0.289855  0.500000
6474  0.297521  0.093333  0.156627  0.009202  0.043189  0.059028  0.209677  0.102950  0.310078  0.106742  0.246377  0.500000
6475  0.198347  0.200000  0.253012  0.029141  0.048173  0.114583  0.255760  0.081164  0.496124  0.207865  0.521739  0.666667
6476  0.173554  0.306667  0.000000  0.003067  0.038206  0.038194  0.175115  0.110854  0.410853  0.078652  0.115942  0.333333
6477  0.198347  0.300000  0.012048  0.004601  0.043189  0.017361  0.172811  0.100829  0.403101  0.073034  0.217391  0.166667
6478  0.231405  0.173333  0.240964  0.115031  0.061462  0.232639  0.377880  0.150954  0.333333  0.157303  0.222222  0.500000
6479  0.231405  0.173333  0.240964  0.115031  0.061462  0.232639  0.377880  0.150954  0.333333  0.157303  0.222222  0.500000
6480  0.099174  0.103333  0.162651  0.171012  0.034884  0.114583  0.258065  0.159823  0.271318  0.157303  0.202899  0.500000
6481  0.140496  0.160000  0.078313  0.010736  0.046512  0.152778  0.345622  0.091190  0.418605  0.089888  0.391304  0.333333
6482  0.090909  0.260000  0.102410  0.019939  0.043189  0.204861  0.327189  0.048776  0.426357  0.073034  0.507246  0.500000
6483  0.223140  0.166667  0.228916  0.118098  0.064784  0.232639  0.387097  0.150569  0.325581  0.157303  0.231884  0.333333
6484  0.231405  0.173333  0.240964  0.115031  0.061462  0.232639  0.377880  0.150954  0.333333  0.157303  0.224638  0.500000
6485  0.198347  0.086667  0.168675  0.078221  0.031561  0.152778  0.264977  0.088105  0.379845  0.483146  0.601449  0.666667
6486  0.198347  0.220000  0.132530  0.019939  0.023256  0.013889  0.115207  0.041835  0.248062  0.320225  0.724638  0.666667
6487  0.247934  0.093333  0.216867  0.009202  0.071429  0.128472  0.278802  0.119337  0.248062  0.179775  0.173913  0.333333
6488  0.090909  0.103333  0.162651  0.171012  0.034884  0.114583  0.258065  0.159823  0.271318  0.157303  0.202899  0.500000
6489  0.190083  0.173333  0.174699  0.024540  0.044850  0.083333  0.216590  0.043763  0.263566  0.123596  0.550725  0.500000
6490  0.157025  0.086667  0.192771  0.004601  0.048173  0.128472  0.264977  0.069983  0.403101  0.134831  0.376812  0.500000
6491  0.223140  0.100000  0.228916  0.010736  0.038206  0.097222  0.244240  0.113168  0.441860  0.179775  0.246377  0.333333
6492  0.198347  0.086667  0.174699  0.015337  0.049834  0.079861  0.198157  0.077694  0.426357  0.157303  0.463768  0.500000
6493  0.231405  0.160000  0.216867  0.113497  0.063123  0.194444  0.373272  0.150183  0.333333  0.134831  0.231884  0.333333
6494  0.223140  0.106667  0.114458  0.009202  0.053156  0.100694  0.241935  0.104685  0.209302  0.134831  0.202899  0.500000
6495  0.140496  0.140000  0.180723  0.007669  0.021595  0.065972  0.239631  0.030461  0.480620  0.089888  0.695652  0.666667
6496  0.181818  0.086667  0.228916  0.003067  0.018272  0.072917  0.211982  0.044342  0.418605  0.056180  0.550725  0.500000

[6497 rows x 12 columns], shape: (6497, 12)

DEMO: ---------------------------------------------------------------------------------------------------

DEMO: data_set_name: wine

DEMO: cv_partition: 1, iteration: 1, error: 0.02211
DEMO: cv_partition: 1, iteration: 2, error: 0.02134
DEMO: cv_partition: 1, iteration: 3, error: 0.02128
DEMO: cv_partition: 1, iteration: 4, error: 0.02111
DEMO: cv_partition: 1, iteration: 5, error: 0.02099
DEMO: cv_partition: 1, iteration: 6, error: 0.02124
DEMO: cv_partition: 1, iteration: 7, error: 0.02107
DEMO: cv_partition: 1, iteration: 8, error: 0.02073
DEMO: cv_partition: 1, iteration: 9, error: 0.0206
DEMO: cv_partition: 1, iteration: 10, error: 0.02056

DEMO: error_vals for partition 1: [0.02211, 0.02134, 0.02128, 0.02111, 0.02099, 0.02124, 0.02107, 0.02073, 0.0206, 0.02056]
DEMO: error reduction: 0.0015500000000000028

DEMO: cv_partition: 2, iteration: 1, error: 0.02277
DEMO: cv_partition: 2, iteration: 2, error: 0.02245
DEMO: cv_partition: 2, iteration: 3, error: 0.02218
DEMO: cv_partition: 2, iteration: 4, error: 0.02192
DEMO: cv_partition: 2, iteration: 5, error: 0.02156
DEMO: cv_partition: 2, iteration: 6, error: 0.02124
DEMO: cv_partition: 2, iteration: 7, error: 0.02077
DEMO: cv_partition: 2, iteration: 8, error: 0.02038
DEMO: cv_partition: 2, iteration: 9, error: 0.0198
DEMO: cv_partition: 2, iteration: 10, error: 0.0195

DEMO: error_vals for partition 2: [0.02277, 0.02245, 0.02218, 0.02192, 0.02156, 0.02124, 0.02077, 0.02038, 0.0198, 0.0195]
DEMO: error reduction: 0.0032699999999999986

DEMO: cv_partition: 3, iteration: 1, error: 0.02365
DEMO: cv_partition: 3, iteration: 2, error: 0.02275
DEMO: cv_partition: 3, iteration: 3, error: 0.02292
DEMO: cv_partition: 3, iteration: 4, error: 0.02206
DEMO: cv_partition: 3, iteration: 5, error: 0.02187
DEMO: cv_partition: 3, iteration: 6, error: 0.02159
DEMO: cv_partition: 3, iteration: 7, error: 0.0214
DEMO: cv_partition: 3, iteration: 8, error: 0.02112
DEMO: cv_partition: 3, iteration: 9, error: 0.02084
DEMO: cv_partition: 3, iteration: 10, error: 0.02054

DEMO: error_vals for partition 3: [0.02365, 0.02275, 0.02292, 0.02206, 0.02187, 0.02159, 0.0214, 0.02112, 0.02084, 0.02054]
DEMO: error reduction: 0.0031100000000000017

DEMO: cv_partition: 4, iteration: 1, error: 0.02002
DEMO: cv_partition: 4, iteration: 2, error: 0.01991
DEMO: cv_partition: 4, iteration: 3, error: 0.01951
DEMO: cv_partition: 4, iteration: 4, error: 0.01958
DEMO: cv_partition: 4, iteration: 5, error: 0.01928
DEMO: cv_partition: 4, iteration: 6, error: 0.01924
DEMO: cv_partition: 4, iteration: 7, error: 0.01917
DEMO: cv_partition: 4, iteration: 8, error: 0.01903
DEMO: cv_partition: 4, iteration: 9, error: 0.01898
DEMO: cv_partition: 4, iteration: 10, error: 0.01886

DEMO: error_vals for partition 4: [0.02002, 0.01991, 0.01951, 0.01958, 0.01928, 0.01924, 0.01917, 0.01903, 0.01898, 0.01886]
DEMO: error reduction: 0.0011600000000000013

DEMO: cv_partition: 5, iteration: 1, error: 0.02121
DEMO: cv_partition: 5, iteration: 2, error: 0.02095
DEMO: cv_partition: 5, iteration: 3, error: 0.02074
DEMO: cv_partition: 5, iteration: 4, error: 0.02062
DEMO: cv_partition: 5, iteration: 5, error: 0.02049
DEMO: cv_partition: 5, iteration: 6, error: 0.02051
DEMO: cv_partition: 5, iteration: 7, error: 0.02036
DEMO: cv_partition: 5, iteration: 8, error: 0.02041
DEMO: cv_partition: 5, iteration: 9, error: 0.02028
DEMO: cv_partition: 5, iteration: 10, error: 0.02023

DEMO: error_vals for partition 5: [0.02121, 0.02095, 0.02074, 0.02062, 0.02049, 0.02051, 0.02036, 0.02041, 0.02028, 0.02023]
DEMO: error reduction: 0.0009799999999999982

DEMO: cv_partition: 6, iteration: 1, error: 0.02019
DEMO: cv_partition: 6, iteration: 2, error: 0.02019
DEMO: cv_partition: 6, iteration: 3, error: 0.02002
DEMO: cv_partition: 6, iteration: 4, error: 0.0198
DEMO: cv_partition: 6, iteration: 5, error: 0.01966
DEMO: cv_partition: 6, iteration: 6, error: 0.01951
DEMO: cv_partition: 6, iteration: 7, error: 0.01933
DEMO: cv_partition: 6, iteration: 8, error: 0.01913
DEMO: cv_partition: 6, iteration: 9, error: 0.01903
DEMO: cv_partition: 6, iteration: 10, error: 0.01866

DEMO: error_vals for partition 6: [0.02019, 0.02019, 0.02002, 0.0198, 0.01966, 0.01951, 0.01933, 0.01913, 0.01903, 0.01866]
DEMO: error reduction: 0.0015300000000000001

DEMO: cv_partition: 7, iteration: 1, error: 0.02214
DEMO: cv_partition: 7, iteration: 2, error: 0.02228
DEMO: cv_partition: 7, iteration: 3, error: 0.02194
DEMO: cv_partition: 7, iteration: 4, error: 0.02212
DEMO: cv_partition: 7, iteration: 5, error: 0.02171
DEMO: cv_partition: 7, iteration: 6, error: 0.02177
DEMO: cv_partition: 7, iteration: 7, error: 0.02155
DEMO: cv_partition: 7, iteration: 8, error: 0.02132
DEMO: cv_partition: 7, iteration: 9, error: 0.02141
DEMO: cv_partition: 7, iteration: 10, error: 0.02111

DEMO: error_vals for partition 7: [0.02214, 0.02228, 0.02194, 0.02212, 0.02171, 0.02177, 0.02155, 0.02132, 0.02141, 0.02111]
DEMO: error reduction: 0.0010299999999999997

DEMO: cv_partition: 8, iteration: 1, error: 0.02174
DEMO: cv_partition: 8, iteration: 2, error: 0.02129
DEMO: cv_partition: 8, iteration: 3, error: 0.02111
DEMO: cv_partition: 8, iteration: 4, error: 0.02099
DEMO: cv_partition: 8, iteration: 5, error: 0.02095
DEMO: cv_partition: 8, iteration: 6, error: 0.02075
DEMO: cv_partition: 8, iteration: 7, error: 0.02063
DEMO: cv_partition: 8, iteration: 8, error: 0.02055
DEMO: cv_partition: 8, iteration: 9, error: 0.02041
DEMO: cv_partition: 8, iteration: 10, error: 0.02031

DEMO: error_vals for partition 8: [0.02174, 0.02129, 0.02111, 0.02099, 0.02095, 0.02075, 0.02063, 0.02055, 0.02041, 0.02031]
DEMO: error reduction: 0.0014299999999999972

DEMO: cv_partition: 9, iteration: 1, error: 0.02162
DEMO: cv_partition: 9, iteration: 2, error: 0.02147
DEMO: cv_partition: 9, iteration: 3, error: 0.02144
DEMO: cv_partition: 9, iteration: 4, error: 0.0211
DEMO: cv_partition: 9, iteration: 5, error: 0.02096
DEMO: cv_partition: 9, iteration: 6, error: 0.02072
DEMO: cv_partition: 9, iteration: 7, error: 0.02052
DEMO: cv_partition: 9, iteration: 8, error: 0.02032
DEMO: cv_partition: 9, iteration: 9, error: 0.02013
DEMO: cv_partition: 9, iteration: 10, error: 0.02019

DEMO: error_vals for partition 9: [0.02162, 0.02147, 0.02144, 0.0211, 0.02096, 0.02072, 0.02052, 0.02032, 0.02013, 0.02019]
DEMO: error reduction: 0.0014300000000000007

DEMO: cv_partition: 10, iteration: 1, error: 0.02042
DEMO: cv_partition: 10, iteration: 2, error: 0.02021
DEMO: cv_partition: 10, iteration: 3, error: 0.02017
DEMO: cv_partition: 10, iteration: 4, error: 0.01994
DEMO: cv_partition: 10, iteration: 5, error: 0.01959
DEMO: cv_partition: 10, iteration: 6, error: 0.01952
DEMO: cv_partition: 10, iteration: 7, error: 0.01908
DEMO: cv_partition: 10, iteration: 8, error: 0.01895
DEMO: cv_partition: 10, iteration: 9, error: 0.0187
DEMO: cv_partition: 10, iteration: 10, error: 0.01845

DEMO: error_vals for partition 10: [0.02042, 0.02021, 0.02017, 0.01994, 0.01959, 0.01952, 0.01908, 0.01895, 0.0187, 0.01845]
DEMO: error reduction: 0.0019699999999999995

DEMO: ------------------------------------------------------------ TRAINING DONE ------------------------------------------------------------

DEMO: trained network: weights --> 

[array([[ 0.09309759, -0.77840621, -0.44969804,  0.0963999 ,  1.78901343,
        -0.10814874,  0.05594862, -0.05612684,  0.77984143,  0.42801122,
         0.54278624],
       [-2.37034106, -1.23531873, -0.21809954, -0.96267666,  0.20196868,
        -0.83225379, -1.10196269,  0.58748254,  0.55497779, -2.50727481,
         0.5433618 ],
       [ 0.17031059, -0.03807709,  0.52760789,  1.48340954,  1.14593968,
         0.83412294, -1.4059062 ,  0.56830499,  0.1181416 ,  0.76971505,
        -2.16401327],
       [ 0.06135299, -0.49841637,  0.43023461, -0.06475022, -0.45119314,
        -0.29493898,  0.75307296, -0.29464394,  1.73597933, -1.2116505 ,
         1.51101   ],
       [-0.82880924,  1.8824713 ,  0.57810144, -1.62434526, -0.9101036 ,
         0.25702138, -0.91928451, -0.25452315, -0.89221346, -0.06630857,
        -0.28798008],
       [ 0.45506492, -0.43170732, -0.11163169,  0.35153145,  0.24788384,
         2.13012428,  0.40988161, -0.28517512,  0.67727985, -0.212161  ,
         1.37435875],
       [-0.43404933, -1.70443732, -1.15945943,  1.99718469, -0.46034213,
        -0.28298869, -0.01024051,  0.07048542,  1.18654717, -1.47168433,
        -1.24325726]]), array([[ 0.66523323, -1.18636329, -1.3357709 , -0.11206136,  0.75743836,
         1.3299671 ,  1.56115282],
       [ 1.29856361,  0.57943196, -0.91599036, -2.2847978 , -1.07906219,
        -0.6238503 ,  1.36214298],
       [ 0.16579399,  1.70252273, -2.67178329, -0.25240599, -0.73110166,
         0.31274809,  0.22868018]]), array([[-0.43510541, -1.02846172,  1.54421905]])], shapes: [(7, 11), (3, 7), (1, 3)]


DEMO: trained network: biases --> 

[array([[-2.18660461],
       [ 1.7915216 ],
       [ 0.80952163],
       [-1.01882877],
       [ 1.11167993],
       [ 0.32732001],
       [-0.68854183]]), array([[ 0.87337581],
       [-0.68243479],
       [ 0.63939872]]), array([[-0.43343225]])], shapes: [(7, 1), (3, 1), (1, 1)]


DEMO: data_set_name: wine


DEMO: trained network: AVERAGE ERROR --> 0.019841


real	113m38.356s
user	110m35.495s
sys	0m26.416s
